Incoming message from Client is : 55.0	0.0	0.0
Incoming message from Client is : 54.90874561794894	-0.027230312672496954	9.499999999999982	
Outgoing message to Client is : 55.064842951740324	0.13339591055499167	9.599999999999982	

Incoming message from Client is : 55.064842951740324	0.13339591055499167	9.599999999999982	
Outgoing message to Client is : 54.30015301862254	0.29250961787972607	9.699999999999982	

Incoming message from Client is : 54.30015301862254	0.29250961787972607	9.699999999999982	
Outgoing message to Client is : 52.623346291923475	0.44820796125048323	9.799999999999981	

Incoming message from Client is : 52.623346291923475	0.44820796125048323	9.799999999999981	
Outgoing message to Client is : 50.05400129112453	0.5984155985129005	9.89999999999998	

Incoming message from Client is : 50.05400129112453	0.5984155985129005	9.89999999999998	
Outgoing message to Client is : 46.62359340156013	0.7408241334878727	9.99999999999998	

Incoming message from Client is : 46.62359340156013	0.7408241334878727	9.99999999999998	
Outgoing message to Client is : 42.37683085290353	0.872874563063791	10.09999999999998	

Incoming message from Client is : 42.37683085290353	0.872874563063791	10.09999999999998	
Outgoing message to Client is : 37.37309131941683	0.9917955747194621	10.19999999999998	

Incoming message from Client is : 37.37309131941683	0.9917955747194621	10.19999999999998	
Outgoing message to Client is : 31.68763898026068	1.0947052740088992	10.29999999999998	

Incoming message from Client is : 31.68763898026068	1.0947052740088992	10.29999999999998	
Outgoing message to Client is : 25.41225842861731	1.1787746303290212	10.399999999999979	

Incoming message from Client is : 25.41225842861731	1.1787746303290212	10.399999999999979	
Outgoing message to Client is : 18.654951630552855	1.2414381356551503	10.499999999999979	

Incoming message from Client is : 18.654951630552855	1.2414381356551503	10.499999999999979	
Outgoing message to Client is : 11.538427286032883	1.2806234508138064	10.599999999999978	

Incoming message from Client is : 11.538427286032883	1.2806234508138064	10.599999999999978	
Outgoing message to Client is : 4.197273746335904	1.2949615768927556	10.699999999999978	

Incoming message from Client is : 4.197273746335904	1.2949615768927556	10.699999999999978	
Outgoing message to Client is : -3.2260728727945414	1.28393709672238	10.799999999999978	

Incoming message from Client is : -3.2260728727945414	1.28393709672238	10.799999999999978	
Outgoing message to Client is : -10.586221834897355	1.2479470082575284	10.899999999999977	

Incoming message from Client is : -10.586221834897355	1.2479470082575284	10.899999999999977	
Outgoing message to Client is : -17.74005818796599	1.1882552999809304	10.999999999999977	

Incoming message from Client is : -17.74005818796599	1.1882552999809304	10.999999999999977	
Outgoing message to Client is : -24.551712773843935	1.1068532145517536	11.099999999999977	

Incoming message from Client is : -24.551712773843935	1.1068532145517536	11.099999999999977	
Outgoing message to Client is : -30.896731201210674	1.0062547062467952	11.199999999999976	

Incoming message from Client is : -30.896731201210674	1.0062547062467952	11.199999999999976	
Outgoing message to Client is : -36.66507028160631	0.8892670132429017	11.299999999999976	

Incoming message from Client is : -36.66507028160631	0.8892670132429017	11.299999999999976	
Outgoing message to Client is : -41.762779274718476	0.7587756274451175	11.399999999999975	

Incoming message from Client is : -41.762779274718476	0.7587756274451175	11.399999999999975	
Outgoing message to Client is : -46.112448476633155	0.6175735349147119	11.499999999999975	

Incoming message from Client is : -46.112448476633155	0.6175735349147119	11.499999999999975	
Outgoing message to Client is : -49.652678931558256	0.46825105726902966	11.599999999999975	

Incoming message from Client is : -49.652678931558256	0.46825105726902966	11.599999999999975	
Outgoing message to Client is : -52.33692066112595	0.31314951613739817	11.699999999999974	

Incoming message from Client is : -52.33692066112595	0.31314951613739817	11.699999999999974	
Outgoing message to Client is : -54.13204527592632	0.15437212274489076	11.799999999999974	

Incoming message from Client is : -54.13204527592632	0.15437212274489076	11.799999999999974	
Outgoing message to Client is : -55.016981011406585	-0.006160267839485284	11.899999999999974	

Incoming message from Client is : -55.016981011406585	-0.006160267839485284	11.899999999999974	
Outgoing message to Client is : -54.98166737411017	-0.16662335480010565	11.999999999999973	

Incoming message from Client is : -54.98166737411017	-0.16662335480010565	11.999999999999973	
Outgoing message to Client is : -54.0265016459567	-0.3251889011866895	12.099999999999973	

Incoming message from Client is : -54.0265016459567	-0.3251889011866895	12.099999999999973	
Outgoing message to Client is : -52.16236144807121	-0.4799248272378016	12.199999999999973	

Incoming message from Client is : -52.16236144807121	-0.4799248272378016	12.199999999999973	
Outgoing message to Client is : -49.41120001804559	-0.6287111677235186	12.299999999999972	

Incoming message from Client is : -49.41120001804559	-0.6287111677235186	12.299999999999972	
Outgoing message to Client is : -45.80712326039484	-0.7691872468709239	12.399999999999972	

Incoming message from Client is : -45.80712326039484	-0.7691872468709239	12.399999999999972	
Outgoing message to Client is : -41.39776961591184	-0.8987447859467212	12.499999999999972	

Incoming message from Client is : -41.39776961591184	-0.8987447859467212	12.499999999999972	
Outgoing message to Client is : -36.24572944169496	-1.0145789950586634	12.599999999999971	

Incoming message from Client is : -36.24572944169496	-1.0145789950586634	12.599999999999971	
Outgoing message to Client is : -30.429671508237657	-1.1138036398882167	12.69999999999997	

Incoming message from Client is : -30.429671508237657	-1.1138036398882167	12.69999999999997	
Outgoing message to Client is : -24.044809878305202	-1.1936259502692554	12.79999999999997	

Incoming message from Client is : -24.044809878305202	-1.1936259502692554	12.79999999999997	
Outgoing message to Client is : -17.202368125169343	-1.25156396785204	12.89999999999997	

Incoming message from Client is : -17.202368125169343	-1.25156396785204	12.89999999999997	
Outgoing message to Client is : -10.027797608820068	-1.2856755284324564	12.99999999999997	

Incoming message from Client is : -10.027797608820068	-1.2856755284324564	12.99999999999997	
Outgoing message to Client is : -2.657683114621274	-1.2947591873881015	13.09999999999997	

Incoming message from Client is : -2.657683114621274	-1.2947591873881015	13.09999999999997	
Outgoing message to Client is : 4.764503309896505	-1.2784875702269556	13.199999999999969	

Incoming message from Client is : 4.764503309896505	-1.2784875702269556	13.199999999999969	
Outgoing message to Client is : 12.093412948140202	-1.2374448723060851	13.299999999999969	

Incoming message from Client is : 12.093412948140202	-1.2374448723060851	13.299999999999969	
Outgoing message to Client is : 19.187045974098652	-1.1730602871807974	13.399999999999968	

Incoming message from Client is : 19.187045974098652	-1.1730602871807974	13.399999999999968	
Outgoing message to Client is : 25.911595391058633	-1.0874518777570303	13.499999999999968	

Incoming message from Client is : 25.911595391058633	-1.0874518777570303	13.499999999999968	
Outgoing message to Client is : 32.14539596418811	-0.9832134426076937	13.599999999999968	

Incoming message from Client is : 32.14539596418811	-0.9832134426076937	13.599999999999968	
Outgoing message to Client is : 37.78165136767171	-0.8631850545152218	13.699999999999967	

Incoming message from Client is : 37.78165136767171	-0.8631850545152218	13.699999999999967	
Outgoing message to Client is : 42.729845947695274	-0.7302451864239755	13.799999999999967	

Incoming message from Client is : 42.729845947695274	-0.7302451864239755	13.799999999999967	
Outgoing message to Client is : 46.91596485076265	-0.5871516587370911	13.899999999999967	

Incoming message from Client is : 46.91596485076265	-0.5871516587370911	13.899999999999967	
Outgoing message to Client is : 50.281802384924305	-0.436444854314747	13.999999999999966	

Incoming message from Client is : 50.281802384924305	-0.436444854314747	13.999999999999966	
Outgoing message to Client is : 52.78371556252476	-0.2804140587857683	14.099999999999966	

Incoming message from Client is : 52.78371556252476	-0.2804140587857683	14.099999999999966	
Outgoing message to Client is : 54.391184689322166	-0.12111880573298484	14.199999999999966	

Incoming message from Client is : 54.391184689322166	-0.12111880573298484	14.199999999999966	
Outgoing message to Client is : 55.08549631454311	0.03954787353365585	14.299999999999965	

Incoming message from Client is : 55.08549631454311	0.03954787353365585	14.299999999999965	
Outgoing message to Client is : 54.85878875925463	0.19976933466514502	14.399999999999965	

Incoming message from Client is : 54.85878875925463	0.19976933466514502	14.399999999999965	
Outgoing message to Client is : 53.71361422932704	0.3577036980243685	14.499999999999964	

